rank,country,2022-avg,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1,Bangladesh,172,326,289,262,115,128,106,66,44,96,126,202,304
2,Kuwait,155,114,106,179,212,288,236,234,130,119,97,74,61
3,Chad,142,230,231,333,174,130,70,40,31,41,90,108,230
4,United Arab Emirates,117,88,77,74,87,207,169,136,234,163,78,53,40
5,India,96,141,117,134,106,98,78,43,44,57,85,121,133
6,Iraq,95,61,56,72,104,135,161,124,97,88,126,58,52
7,Pakistan,91,149,118,76,80,70,67,37,63,42,116,116,157
8,Sudan,85,72,81,117,147,193,101,43,101,44,46,40,39
9,Bahrain,79,0,85,99,101,147,124,158,149,83,0,0,0
10,Nepal,75,93,85,60,41,32,32,27,8,12,104,187,214
11,Armenia,69,113,74,74,70,68,88,96,56,66,24,34,57
12,China,68,117,79,83,66,56,46,42,46,55,59,71,92
13,Iran,66,55,57,71,66,91,77,90,57,68,63,46,46
14,Bosnia And Herzegovina,58,104,81,77,37,38,31,36,41,33,51,74,89
15,Ethiopia,52,32,47,43,39,58,71,64,82,62,40,43,45
16,Mexico,50,59,59,64,55,64,54,37,28,31,38,54,56
17,Uzbekistan,49,66,63,51,51,44,45,40,0,0,29,67,137
18,Macedonia,48,88,64,55,32,30,28,28,32,22,36,61,97
19,North Korea,47,56,65,54,55,48,35,36,33,40,41,53,52
20,Turkey,46,64,66,42,44,32,36,32,45,40,42,53,60
21,Jordan,45,26,37,51,87,58,45,40,58,38,44,25,27
22,Mali,45,152,0,0,0,0,0,0,0,38,93,112,150
23,Chile,43,27,35,36,43,73,74,60,49,42,29,25,26
24,"Korea, South",41,50,53,51,47,46,35,36,25,33,34,46,40
25,Macau,41,55,39,43,34,29,20,21,68,56,48,34,50
26,Cote D’Ivoire,39,96,81,54,24,21,23,23,27,17,18,28,55
27,El Salvador,39,116,48,35,34,49,35,40,20,20,20,16,31
28,Malta,38,36,34,40,37,46,43,42,34,30,32,40,38
29,Israel,37,33,36,34,59,40,40,39,32,25,37,31,34
30,Turkmenistan,37,52,36,31,47,28,45,35,12,53,39,28,42
31,Taiwan,36,40,38,47,38,31,23,24,35,41,38,38,34
32,Hong Kong,35,44,30,36,31,28,17,18,64,48,38,29,34
33,Madagascar,34,19,12,14,22,30,31,25,18,26,79,93,37
34,Egypt,34,0,0,0,0,0,0,0,0,67,86,116,140
35,Montenegro,34,16,17,15,32,23,23,22,22,22,47,66,100
36,Georgia,34,37,54,31,35,26,31,33,49,26,23,29,33
37,Czechia,33,32,31,47,30,34,34,31,26,23,31,37,43
38,Kosovo,32,44,37,34,23,23,23,26,8,18,34,41,69
39,Tajikistan,32,12,9,7,8,9,6,14,5,12,70,91,136
40,Peru,32,23,23,21,25,38,34,35,28,35,42,36,34
41,South Africa,31,18,24,23,20,35,48,49,37,37,34,23,24
42,Spain,31,33,32,41,27,31,31,35,38,27,31,23,22
43,Cyprus,31,30,27,22,50,28,27,30,37,29,30,26,30
44,San Marino,30,50,46,43,37,41,47,52,45,0,0,0,0
45,Kyrgyzstan,30,5,6,2,1,1,1,1,2,3,93,100,148
46,Croatia,29,36,29,42,23,28,28,31,26,20,28,24,31
47,Luxembourg,28,24,28,36,30,32,31,32,36,23,22,18,24
48,Algeria,28,39,28,37,23,27,26,23,34,30,8,27,29
49,Hungary,28,51,32,43,28,31,32,33,33,22,27,1,1
50,Japan,27,26,30,32,30,35,29,25,23,24,23,24,20
51,Bulgaria,27,29,32,31,23,24,25,26,41,21,22,23,25
52,Burkina Faso,27,0,0,0,0,0,0,0,0,20,83,140,78
53,Vietnam,27,19,23,24,21,21,20,15,24,19,40,42,50
54,Poland,27,28,25,47,24,23,22,19,17,18,28,36,36
55,Portugal,27,38,25,32,21,29,24,31,25,23,25,20,24
56,Slovenia,26,40,27,37,20,22,23,25,24,16,26,25,30
57,Brazil,26,18,21,21,22,24,26,36,35,31,29,24,20
58,France,26,30,26,35,24,26,25,29,32,21,20,19,21
59,Italy,25,43,35,40,28,31,33,35,30,4,6,6,6
60,Singapore,25,34,28,32,32,28,21,21,16,24,19,20,20
61,Netherlands,25,26,25,32,26,27,26,24,30,22,20,18,22
62,Nigeria,25,21,28,27,9,7,6,5,5,4,42,60,83
63,Indonesia,25,15,25,26,27,26,29,32,21,29,21,22,25
64,Serbia,24,26,18,21,11,9,9,9,10,8,57,53,62
65,Guadeloupe,24,28,29,22,20,26,34,24,37,14,16,18,19
66,Rwanda,24,0,0,0,0,0,0,0,0,83,69,49,82
67,Slovakia,23,30,23,35,17,16,16,14,13,13,24,32,39
68,Switzerland,23,23,23,29,22,25,27,31,31,19,18,16,17
69,Liechtenstein,23,22,24,40,20,21,24,28,20,17,20,16,16
70,Monaco,23,37,29,31,14,20,21,20,18,14,22,24,27
71,Mongolia,23,10,8,6,6,5,4,4,3,5,62,82,86
72,Germany,23,22,23,30,22,26,27,26,26,19,19,18,22
73,Greece,23,32,36,21,22,12,26,18,13,16,21,24,33
74,Guatemala,23,20,14,26,37,34,18,16,21,26,27,20,18
75,Botswana,22,18,24,14,16,26,26,23,20,32,28,16,16
76,Sri Lanka,22,20,16,19,9,7,7,7,8,7,44,56,63
77,Thailand,22,21,26,28,26,15,12,10,12,11,36,31,37
78,Trinidad And Tobago,21,14,10,16,28,34,28,20,36,23,16,6,16
79,Lithuania,21,22,22,29,19,18,22,19,26,12,16,18,23
80,United States,21,20,21,21,20,22,24,22,23,22,22,17,15
81,Martinique,21,19,0,0,0,32,40,29,49,19,24,21,16
82,French Guiana,21,16,20,32,28,25,12,15,22,18,18,15,20
83,United Kingdom,20,24,22,31,20,18,18,16,19,15,15,16,19
84,Estonia,20,21,24,26,20,23,23,21,16,13,17,14,17
85,Ghana,20,46,28,15,12,8,9,10,9,6,27,29,47
86,Andorra,19,19,18,18,9,19,25,26,21,16,23,16,15
87,Reunion,19,18,20,19,18,17,20,20,20,19,18,17,15
88,Burma,18,27,36,33,27,10,6,5,4,5,18,24,27
89,Laos,18,3,4,5,6,2,2,3,5,2,72,55,63
90,Uganda,18,9,6,6,4,5,5,6,20,5,48,47,55
91,Zambia,18,0,0,0,0,0,0,0,0,0,128,74,14
92,Belgium,17,24,15,33,18,18,15,14,24,13,16,11,4
93,Kazakhstan,17,12,11,6,5,3,2,2,2,4,45,42,66
94,Canada,17,18,20,18,15,17,16,17,16,16,17,15,13
95,Congo,17,0,0,0,0,0,0,0,0,5,32,68,97
96,Jersey,16,13,19,9,0,13,17,18,23,14,17,31,13
97,Lebanon,16,0,0,0,0,0,0,0,0,0,70,61,56
98,Romania,16,20,18,18,10,11,11,12,13,7,20,24,27
99,Austria,16,18,14,27,12,13,13,12,12,10,18,17,22
100,Ecuador,15,28,24,21,20,21,6,5,9,10,8,12,13
101,New Zealand,15,10,12,12,13,17,20,22,22,16,13,13,10
102,Qatar,15,0,0,0,0,0,0,0,0,24,77,37,43
103,Colombia,14,16,15,12,7,9,10,9,10,11,22,18,23
104,Norway,14,18,14,27,19,15,13,8,8,8,10,12,16
105,Senegal,13,0,0,0,0,0,0,0,0,5,34,54,58
106,New Caledonia,13,15,13,11,10,16,12,15,10,15,16,12,10
107,Ireland,12,15,15,18,8,10,11,7,9,9,13,14,20
108,Kenya,11,0,9,8,5,6,8,10,11,8,20,28,22
109,Sweden,11,10,12,19,13,10,9,7,6,9,13,11,9
110,Cameroon,11,0,0,0,0,0,0,0,0,0,32,39,64
111,Finland,11,9,9,17,19,12,12,9,7,7,9,9,8
112,Iceland,11,23,16,11,11,8,12,7,12,10,9,8,6
113,Australia,11,11,14,12,11,11,12,12,11,11,10,10,11
114,Denmark,10,8,10,11,9,10,10,10,8,8,16,14,10
115,Gabon,10,0,34,0,0,0,0,0,0,0,17,27,46
116,Guinea,10,0,0,0,0,0,0,0,0,0,0,0,123
117,Argentina,10,10,10,11,9,11,10,8,7,8,13,14,10
118,Philippines,9,6,0,0,8,7,6,6,7,8,14,26,26
119,Azerbaijan,9,0,0,0,0,0,0,0,0,12,22,28,34
120,Costa Rica,8,4,5,6,4,8,6,6,11,8,12,12,10
121,Angola,8,0,0,0,0,0,0,0,0,0,51,27,22
122,Russia,8,9,6,3,3,4,4,4,3,3,13,17,23
123,Ukraine,7,1,4,4,2,1,1,1,1,1,16,26,27
124,Moldova,7,7,6,6,2,0,0,0,0,5,19,17,17
125,Saudi Arabia,6,2,30,3,0,0,1,11,0,0,9,6,8
126,Belarus,6,0,0,0,0,0,0,0,0,0,19,22,25
127,Benin,6,0,0,0,0,0,0,0,0,0,20,22,34
128,Cambodia,6,0,0,0,0,0,0,0,0,0,30,15,25
129,Puerto Rico,6,0,2,2,2,3,33,3,6,2,4,5,4
130,Liberia,5,0,0,0,0,0,0,0,0,0,5,17,42
131,Malaysia,5,2,3,4,3,4,3,3,4,4,4,11,17
132,Gambia,5,0,0,0,0,0,0,0,0,0,20,36,0
133,Gibraltar,5,2,4,6,0,2,3,6,19,8,10,3,0
134,Cabo Verde,4,0,0,0,0,0,0,0,0,0,18,17,10
135,Latvia,4,0,0,0,0,0,0,0,0,0,17,17,20
136,Togo,4,0,0,0,0,0,0,0,0,0,17,20,8
137,Curacao,4,0,0,0,0,0,0,0,0,6,12,15,14
138,Albania,4,0,0,0,0,0,0,0,0,0,16,16,19
139,Namibia,2,0,0,0,0,0,0,0,0,0,8,12,7
140,Venezuela,1,0,0,0,0,0,0,0,0,0,3,3,8
141,Grenada,1,0,0,0,0,0,0,0,0,0,2,6,7
